,credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
1,0,credit_card,0.1236,200.32,11.05089001,14.51,667,2880,12508,34.7,5,0,0,1
2,0,credit_card,0.1411,483.49,11.15625052,19.05,692,3960.041667,34491,44.8,4,0,0,0
3,1,educational,0.1148,461.56,11.59910316,21.29,727,5250,15812,50,1,0,0,1
4,1,debt_consolidation,0.0751,373.32,11.09741002,4.33,782,12360,6449,12.5,2,0,0,0
5,0,credit_card,0.1316,189.12,10.49127422,22.6,712,5393.041667,40553,82,1,0,0,1
6,0,all_other,0.145,385.52,11.00209984,5.74,657,1830,8181,87,0,0,0,1
7,1,credit_card,0.1284,504.27,11.46163217,9.75,697,7919.958333,33981,77.1,0,0,1,1
8,1,debt_consolidation,0.1531,313.34,10.69194491,6.14,662,6960,5776,77,1,0,0,1
9,1,credit_card,0.1287,645.76,11.28978191,10.93,742,2610,222,2.8,0,1,0,1
10,0,debt_consolidation,0.1804,682.76,11.35040654,16.28,647,1590.041667,2253,62.6,4,0,0,0
11,0,debt_consolidation,0.1531,348.16,10.858999,19.48,707,3720.041667,17705,67.6,7,0,0,0
12,0,major_purchase,0.0976,321.55,11.08201946,11.34,722,2970,4945,2.7,5,0,0,0
13,1,debt_consolidation,0.1197,199.2,10.98189713,6,672,4410,3831,34.2,0,1,0,1
14,0,debt_consolidation,0.1343,142.39,10.30895266,13.16,647,3660,2153,86.1,3,0,0,0
15,0,debt_consolidation,0.1482,151.28,11.43154186,26.24,697,3449.958333,150334,87.7,0,0,0,0
16,1,educational,0.1357,849.22,11.36789969,3.27,722,5610,5482,57.7,0,0,0,1
17,1,all_other,0.1284,235.33,9.574983486,3,707,1199.958333,3449,19.7,2,0,0,1
18,0,credit_card,0.1379,302.42,11.37939407,24.99,692,2640.958333,122464,87.7,1,0,0,0
19,0,debt_consolidation,0.1474,207.23,10.6454249,22.17,702,4590.041667,17295,74.5,8,0,0,0
20,1,debt_consolidation,0.1474,345.37,10.83958091,18.71,672,4740,18540,62.4,2,0,0,1
21,1,debt_consolidation,0.1505,294.88,10.49127422,18.57,667,1830,8297,72.1,0,0,0,1
22,1,debt_consolidation,0.1218,499.5,10.81977828,21.24,722,3300,7322,31.8,0,0,0,1
23,0,debt_consolidation,0.1148,417.88,10.63585545,16.07,737,4499.958333,19093,43.9,4,0,0,1
24,1,all_other,0.1316,84.43,10.49127422,2.2,697,3570,2196,35.4,1,0,0,1
25,1,credit_card,0.1746,897.06,11.6351431,3.94,662,4530.041667,31852,80.6,3,1,0,1
26,0,debt_consolidation,0.147,207.11,11.26446411,10.23,642,599.9583333,4103,93.7,0,0,0,0
27,0,all_other,0.1533,365.69,11.03488966,1.72,642,1470,1437,95.8,13,0,0,1
28,0,debt_consolidation,0.1608,111.75,10.49127422,26.03,667,2507.041667,19636,103.9,12,0,0,0
29,1,debt_consolidation,0.1284,672.36,10.71441777,19.12,767,5790.041667,14729,48.9,5,0,0,1
30,0,debt_consolidation,0.1531,208.9,10.71441777,21.95,677,4770,11760,95.6,4,0,0,0
31,0,debt_consolidation,0.1261,134.03,10.00784757,23.02,702,1050,2740,21.1,6,0,0,0
32,0,small_business,0.1059,650.9,11.53272809,2.55,707,1590.041667,8702,51.7,11,0,0,0
33,0,credit_card,0.1189,530.63,11.1124479,21.62,727,5490,9998,30.3,4,0,0,0
34,1,all_other,0.1496,225.2,11.00209984,1.08,697,1200.041667,0,0,3,3,0,1
35,1,all_other,0.0639,107.11,11.22390917,14.18,782,7171.041667,5256,15.6,2,0,0,0
36,1,major_purchase,0.1311,464,10.16585182,14.4,747,4320.041667,16738,90.3,1,0,0,0
37,0,debt_consolidation,0.1829,352.1,10.94574111,25.5,657,3420.041667,13243,98.1,0,0,0,0
38,0,credit_card,0.1261,50.26,10.1266311,1.87,657,883.0416667,1140,47.5,0,0,0,0
39,0,home_improvement,0.16,351.58,10.81977828,19.18,692,1800,0,3.2,5,0,0,1
40,0,home_improvement,0.1739,537.71,10.91508846,5.78,767,12930.04167,13584,48.5,9,0,0,0
41,1,debt_consolidation,0.1422,342.85,10.71441777,12.48,682,7050.041667,4719,77.4,1,0,0,0
42,0,all_other,0.1608,149.59,10.46321762,26.36,667,6960,6644,35.9,12,0,0,0
43,0,all_other,0.1507,86.75,10.04324949,24.47,667,2491,4374,52.7,4,0,0,0
44,0,credit_card,0.1343,67.81,10.71441777,8.75,647,419,1615,54.1,8,0,1,0
